HSA,A00,B00,C00,D01,A01
129,29.27,28.97,29.75,28.65,29.12
128,29.21,28.89,29.71,28.6,29.04
127,29.12,28.77,29.66,28.55,28.93
126,29.03,28.65,29.61,28.49,28.81
125,28.94,28.54,29.56,28.44,28.7
124,28.85,28.42,29.51,28.38,28.59
123,28.76,28.3,29.46,28.22,28.47
122,28.67,28.19,29.41,28.15,28.36
121,28.58,28.07,29.36,28.07,28.25
120,28.49,27.95,29.31,28,28.13
119,28.4,27.84,29.26,27.92,28.02
118,28.31,27.72,29.2,27.85,27.9
117,28.22,27.6,29.15,27.77,27.79
116,28.13,27.48,29.1,27.7,27.68
115,28.04,27.37,29.05,27.62,27.56
114,27.95,27.25,29,27.55,27.45
113,27.9,27.18,28.96,27.51,27.41
112,27.85,27.12,28.92,27.47,27.37
111,27.8,27.05,28.88,27.43,27.33
110,27.75,26.98,28.83,27.38,27.28
109,27.7,26.92,28.79,27.34,27.24
108,27.65,26.85,28.75,27.29,27.2
107,27.52,26.7,28.67,27.22,27.08
106,27.38,26.55,28.58,27.13,26.97
105,27.25,26.4,28.5,27.05,26.85
104,27.14,26.28,28.4,26.97,26.76
103,27.03,26.17,28.31,26.88,26.67
102,26.93,26.05,28.21,26.8,26.58
101,26.82,25.93,28.11,26.72,26.48
100,26.71,25.82,28.02,26.63,26.39
99,26.6,25.7,27.92,26.55,26.3
98,26.47,25.55,27.79,26.46,26.18
97,26.34,25.4,27.65,26.37,26.06
96,26.21,25.25,27.52,26.28,25.94
95,26.08,25.1,27.38,26.19,25.82
94,25.95,24.95,27.25,26.1,25.7
93,25.81,24.8,27.13,25.99,25.56
92,25.67,24.65,27,25.88,25.42
91,25.53,24.5,26.88,25.78,25.28
90,25.38,24.35,26.75,25.67,25.13
89,25.24,24.2,26.63,25.56,24.99
88,25.1,24.05,26.5,25.45,24.85
87,24.95,23.91,26.35,25.34,24.71
86,24.8,23.77,26.2,25.23,24.57
85,24.65,23.63,26.05,25.12,24.43
84,24.5,23.49,25.9,25.01,24.29
83,24.35,23.35,25.75,24.9,24.15
82,24.12,23.12,25.58,24.7,23.93
81,23.88,22.88,25.42,24.5,23.72
80,23.65,22.65,25.25,24.3,23.5
79,23.48,22.46,25.06,24.15,23.33
78,23.3,22.28,24.88,24,23.15
77,23.13,22.09,24.69,23.85,22.98
76,22.95,21.9,24.5,23.7,22.8
75,22.68,21.65,24.28,23.48,22.57
74,22.42,21.4,24.05,23.27,22.33
73,22.15,21.15,23.83,23.05,22.1
72,21.93,20.94,23.69,22.86,21.9
71,21.7,20.73,23.54,22.67,21.7
70,21.48,20.51,23.4,22.47,21.5
69,21.25,20.3,23.25,22.27,21.3
68,21,20.03,23.06,22.05,21.06
67,20.75,19.75,22.88,21.84,20.83
66,20.5,19.48,22.69,21.62,20.59
65,20.25,19.2,22.5,21.4,20.35
64,19.95,18.93,22.27,21.15,20.07
63,19.65,18.66,22.03,20.9,19.79
62,19.35,18.39,21.8,20.65,19.51
61,19.05,18.12,21.56,20.4,19.23
60,18.75,17.85,21.33,20.15,18.95
59,18.53,17.66,21.15,19.94,18.72
58,18.32,17.46,20.97,19.74,18.49
57,18.1,17.27,20.78,19.53,18.26
56,17.88,17.07,20.6,19.33,18.02
55,17.67,16.88,20.42,19.12,17.79
54,17.45,16.68,20.24,18.92,17.56
53,17.24,16.49,20.06,18.71,17.33
52,17.02,16.3,19.87,18.5,17.1
51,16.8,16.1,19.69,18.3,16.87
50,16.59,15.91,19.51,18.09,16.64
49,16.37,15.71,19.33,17.89,16.4
48,16.15,15.52,19.14,17.68,16.17
47,15.94,15.33,18.96,17.47,15.94
46,15.72,15.13,18.78,17.27,15.71
45,15.51,14.94,18.6,17.06,15.48
44,15.29,14.74,18.42,16.86,15.25
43,15.07,14.55,18.23,16.65,15.02
42,14.86,14.35,18.05,16.45,14.78
41,14.64,14.16,17.87,16.24,14.55
40,14.42,13.97,17.69,16.03,14.32
39,14.21,13.77,17.51,15.83,14.09
38,13.99,13.58,17.32,15.62,13.86
37,13.78,13.38,17.14,15.42,13.63
36,13.56,13.19,16.96,15.21,13.4
35,13.34,13,16.78,15,13.17
34,13.13,12.8,16.6,14.8,12.93
33,12.91,12.61,16.41,14.59,12.7
32,12.69,12.41,16.23,14.39,12.47
31,12.48,12.22,16.05,14.18,12.24
30,12.26,12.02,15.87,13.98,12.01
29,12.05,11.83,15.69,13.78,11.78
28,11.83,11.64,15.5,13.56,11.55
27,11.61,11.44,15.32,13.36,11.31
26,11.4,11.25,15.14,13.15,11.08
25,11.18,11.05,14.96,12.95,10.85
24,10.96,10.86,14.77,12.74,10.62
23,10.75,10.67,14.59,12.53,10.39
22,10.53,10.47,14.41,12.33,10.16
21,10.32,10.28,14.23,12.12,9.93
20,10.1,10.08,14.05,11.92,9.69
19,9.88,9.89,13.86,11.71,9.46
18,9.67,9.69,13.68,11.51,9.23
17,9.45,9.5,13.5,11.3,9
